creation_datetime,last_change_datetime,id,racer_id,championship_id,name
2024-02-01 11:15:30.681632,2024-02-01 11:15:30.681649,1,1,1,Racer: Francisco Matos Gil in Championship: Taça do Pisto Colado 2023
2024-02-01 11:15:30.727865,2024-02-01 11:15:30.727887,2,2,1,Racer: João Couceiro in Championship: Taça do Pisto Colado 2023
2024-02-01 11:15:30.809068,2024-02-01 11:15:30.809075,3,4,1,Racer: Dinis Brito e Faro in Championship: Taça do Pisto Colado 2023
2024-02-01 11:15:30.817220,2024-02-01 11:15:30.817232,4,9,1,Racer: Pedro Pacheco in Championship: Taça do Pisto Colado 2023
2024-02-01 11:15:30.830832,2024-02-01 11:15:30.830842,5,3,1,Racer: Miguel Caeiro in Championship: Taça do Pisto Colado 2023
2024-02-01 11:15:30.849742,2024-02-01 11:15:30.849751,6,5,1,Racer: Alexandre Campelo in Championship: Taça do Pisto Colado 2023
2024-02-01 11:15:30.871712,2024-02-01 11:15:30.871726,7,6,1,Racer: Luís Ferreira in Championship: Taça do Pisto Colado 2023
2024-02-01 11:15:30.886261,2024-02-01 11:15:30.886271,8,7,1,Racer: Henrique Vilas in Championship: Taça do Pisto Colado 2023
2024-02-01 11:15:30.920543,2024-02-01 11:15:30.920557,9,8,1,Racer: Francisco Lima in Championship: Taça do Pisto Colado 2023
2024-02-01 11:15:30.945462,2024-02-01 11:15:30.945487,10,10,1,Racer: Francisco Freitas in Championship: Taça do Pisto Colado 2023
2024-02-01 11:15:30.962371,2024-02-01 11:15:30.962380,11,11,1,Racer: Luís Dias in Championship: Taça do Pisto Colado 2023
2024-02-01 11:15:30.969925,2024-02-01 11:15:30.969929,12,12,1,Racer: Gonçalo Garrett in Championship: Taça do Pisto Colado 2023
2024-02-01 11:15:30.977728,2024-02-01 11:15:30.977741,13,13,1,Racer: Miguel Sousa Guedes in Championship: Taça do Pisto Colado 2023
2024-02-01 11:15:30.989798,2024-02-01 11:15:30.989807,14,14,1,Racer: Tomás Marrana in Championship: Taça do Pisto Colado 2023
2024-02-01 11:15:31.000339,2024-02-01 11:15:31.000346,15,15,1,Racer: José Pedro Raimundo in Championship: Taça do Pisto Colado 2023
2024-02-01 11:15:31.023849,2024-02-01 11:15:31.023856,16,16,1,Racer: António Guimarães in Championship: Taça do Pisto Colado 2023
