creation_datetime,last_change_datetime,id,name,app_model_name,app_image,color,style,url,image_filename
2024-02-01 10:57:40.058464,2024-02-01 10:57:47.063577,1,Aplicações,Backend_App,Backend_App/20240124175923_app_image.png,#e23c3c,style=background-color:#e23c3c,/editor/display/Backend_App,images/Backend_App/20240124175923_app_image.png
2024-02-01 10:57:47.079104,2024-02-01 10:57:47.079108,2,Pilotos,Racer,Backend_App/20240124180058_app_image.png,#45ad00,style=background-color:#45ad00,/editor/display/Racer,images/Backend_App/20240124180058_app_image.png
2024-02-01 10:57:47.152540,2024-02-01 10:57:47.152560,3,Campeonatos,Championship,Backend_App/20240124180146_app_image.png,#ffffff,style=background-color:#ffffff,/editor/display/Championship,images/Backend_App/20240124180146_app_image.png
2024-02-01 10:57:47.195425,2024-02-01 10:57:47.195449,4,Equipas,Team,Backend_App/20240124180235_app_image.png,#0099e6,style=background-color:#0099e6,/editor/display/Team,images/Backend_App/20240124180235_app_image.png
2024-02-01 10:57:47.232557,2024-02-01 10:57:47.232577,5,Pistas,Track,Backend_App/20240124180255_app_image.png,#f0d737,style=background-color:#f0d737,/editor/display/Track,images/Backend_App/20240124180255_app_image.png
2024-02-01 10:57:47.256631,2024-02-01 10:57:47.256641,6,Utilizadores,User,Backend_App/20240124180331_app_image.png,#5e5e5e,style=background-color:#5e5e5e,/editor/display/User,images/Backend_App/20240124180331_app_image.png
2024-02-01 10:57:47.279552,2024-02-01 10:57:47.279566,7,Restaurantes,Restaurant,Backend_App/20240124202845_app_image.png,#660000,style=background-color:#660000,/editor/display/Restaurant,images/Backend_App/20240124202845_app_image.png
2024-02-01 10:57:47.293847,2024-02-01 10:57:47.293862,8,Corridas,Race,Backend_App/20240124202910_app_image.png,#cccccc,style=background-color:#cccccc,/editor/display/Race,images/Backend_App/20240124202910_app_image.png
2024-02-01 10:57:47.336664,2024-02-01 10:57:47.336686,9,Pontos por posição,RacePointDistribution,Backend_App/20240131182439_app_image.png,#699900,style=background-color:#699900,/editor/display/RacePointDistribution,images/Backend_App/20240131182439_app_image.png
2024-02-01 10:57:47.389116,2024-02-01 10:57:47.389125,10,Pilotos no Campeonatos,Association_RacerChampionship,Backend_App/20240124180646_app_image.png,#b4b4c8,style=background-color:#b4b4c8,/editor/display/Association_RacerChampionship,images/Backend_App/20240124180646_app_image.png
2024-02-01 10:57:47.405832,2024-02-01 10:57:47.405845,11,Pilotos nas Corridas,Association_RacerRace,Backend_App/20240124180718_app_image.png,#b4b4c8,style=background-color:#b4b4c8,/editor/display/Association_RacerRace,images/Backend_App/20240124180718_app_image.png
2024-02-01 10:57:47.426824,2024-02-01 10:57:47.426839,12,Pilotos nos Restaurantes,Association_RacerRestaurant,Backend_App/20240124180746_app_image.png,#b4b4c8,style=background-color:#b4b4c8,/editor/display/Association_RacerRestaurant,images/Backend_App/20240124180746_app_image.png
2024-02-01 10:57:47.444325,2024-02-01 10:57:47.444338,13,Pilotos nas Equipas,Association_RacerTeam,Backend_App/20240124180808_app_image.png,#b4b4c8,style=background-color:#b4b4c8,/editor/display/Association_RacerTeam,images/Backend_App/20240124180808_app_image.png
2024-02-01 10:57:47.470408,2024-02-01 10:57:47.470427,14,Pilotos nas Pistas,Association_RacerTrack,Backend_App/20240124180840_app_image.png,#b4b4c8,style=background-color:#b4b4c8,/editor/display/Association_RacerTrack,images/Backend_App/20240124180840_app_image.png
2024-02-01 10:57:47.493682,2024-02-01 10:57:47.493698,15,Equipas nos Campeonatos,Association_TeamChampionship,Backend_App/20240124180923_app_image.png,#b4b4c8,style=background-color:#b4b4c8,/editor/display/Association_TeamChampionship,images/Backend_App/20240124180923_app_image.png
