creation_datetime,last_change_datetime,id,place,points,qualification_points,championship_id,name
2024-02-01 11:08:29.590431,2024-02-01 11:08:29.590444,1,0,1.0,0.0,1,Place 0 in Championship: Taça do Pisto Colado 2023
2024-02-01 11:08:29.607088,2024-02-01 11:09:56.734489,2,1,30.0,9.0,1,Place 1 in Championship: Taça do Pisto Colado 2023
2024-02-01 11:08:29.628627,2024-02-01 11:11:26.762125,3,2,25.0,8.0,1,Place 2 in Championship: Taça do Pisto Colado 2023
2024-02-01 11:08:29.640903,2024-02-01 11:11:34.269014,4,3,21.0,6.0,1,Place 3 in Championship: Taça do Pisto Colado 2023
2024-02-01 11:08:29.649023,2024-02-01 11:10:56.733881,5,4,18.0,5.0,1,Place 4 in Championship: Taça do Pisto Colado 2023
2024-02-01 11:08:29.656864,2024-02-01 11:11:57.274710,6,5,16.0,2.0,1,Place 5 in Championship: Taça do Pisto Colado 2023
2024-02-01 11:08:29.670164,2024-02-01 11:12:45.038753,7,6,15.0,1.0,1,Place 6 in Championship: Taça do Pisto Colado 2023
2024-02-01 11:08:29.675973,2024-02-01 11:12:55.769655,8,7,13.0,0.0,1,Place 7 in Championship: Taça do Pisto Colado 2023
2024-02-01 11:08:29.681783,2024-02-01 11:13:08.800572,9,8,12.0,0.0,1,Place 8 in Championship: Taça do Pisto Colado 2023
2024-02-01 11:08:29.710840,2024-02-01 11:13:18.810885,10,9,11.0,0.0,1,Place 9 in Championship: Taça do Pisto Colado 2023
2024-02-01 11:08:29.734828,2024-02-01 11:14:07.744613,11,10,10.0,0.0,1,Place 10 in Championship: Taça do Pisto Colado 2023
2024-02-01 11:08:29.764528,2024-02-01 11:13:56.823155,12,11,6.0,0.0,1,Place 11 in Championship: Taça do Pisto Colado 2023
2024-02-01 11:08:29.789107,2024-02-01 11:13:51.460880,13,12,5.0,0.0,1,Place 12 in Championship: Taça do Pisto Colado 2023
2024-02-01 11:08:29.803622,2024-02-01 11:13:46.472492,14,13,4.0,0.0,1,Place 13 in Championship: Taça do Pisto Colado 2023
2024-02-01 11:08:29.820690,2024-02-01 11:13:41.728694,15,14,3.0,0.0,1,Place 14 in Championship: Taça do Pisto Colado 2023
2024-02-01 11:08:29.853413,2024-02-01 11:13:32.807286,16,15,2.0,0.0,1,Place 15 in Championship: Taça do Pisto Colado 2023
2024-02-01 11:08:29.887145,2024-02-01 11:08:29.887166,17,16,1.0,0.0,1,Place 16 in Championship: Taça do Pisto Colado 2023
